id,comment,label,task
train_008916,Chất lượng sản phẩm rất kém Thời gian giao hàng rất chậm Dịch vụ nhìn chung rất kém,0,9
train_003413,Đặt hàng mẫu này gửi mẫu kia nhắn tin thì không trả lời,0,6
train_011443,Làm sao khách hàng chỉ sử dụng chai này hết trong một tháng,1,9
train_006244,sản phẩm giống hình nhưng áo rộng dài còn quần ngắn không ưng ý lắm,0,1
train_002251,Shop tư vấn rất tốt,2,5
train_012157,Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn giao hàng rất nhanh,2,1
train_011443,Mình không nghĩ hàng chỉ còn hơn 1 tháng hạn sử dụng mà TIKI vẫn giao đến khách hàng - đặc biệt hàng dành cho trẻ em,0,3
train_015521,Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền,2,1
train_001908,"Shop phục vụ rất kém, không có đạo đức nghề nghiệp",0,5
train_004951,"iPhone 5 thường có 4 chân, còn iPhone 5s chỉ có 3 chân thôi, hơi chua",0,1
train_003061,Sản phẩm bị sử dụng rồi mà vẫn giao,0,3
train_016016,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_016016,Chất lượng sản phẩm tuyệt vời,2,1
train_015072,Đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt giá thành cũng rẻ chất lượng thì chưa dùng nên chưa biết,1,9
train_016016,Đặt size to quá nên nhờ shop gửi lại thì được trợ giúp,2,5
train_016016,Nhận được hàng rất hài lòng,2,3
train_012267,"Chất lượng sản phẩm rất kém
Lúc mới mua về cắm adapter rất lâu thì router mới lên nguồn.",1,9
train_016016,Giao hàng nhanh như chớp,2,3
train_012267,Sử dụng được đúng 2 ngày thì cổng Wan chết,0,1
train_016016,Cảm ơn shop,2,5
train_012267,Gọi số bảo hành thì số không gọi được,0,5
train_003062,Đóng gói sản phẩm rất đẹp và chắc chắn tốt,2,2
train_012267,Rất không đáng tiền,0,4
train_001563,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn, thời gian giao hàng rất nhanh, shop phục vụ rất tốt",2,9
train_007335,Mình mua bình này cách đây hơn 1 năm thấy sản phẩm đang giảm 45% nên vào góp ý cho các bạn định mua,2,8
train_007335,"Bình sử dụng được một thời gian thì bên trong có vật gì đó giống cục sỏi, mặc dù rửa rất sạch nhưng khi lắc vẫn nghe tiếng kêu bên trong",0,1
train_007335,"Bình này quá tệ, rất hôi, dễ bị móp, đặc biệt phần nắp móp độ hở lớn",0,1
train_007335,Rất ức chế vì chẳng biết cái bình nó chứa cái gì trong đó mà không biết nó độc hại hay không,0,1
train_007335,Công nhận hàng Trung Quốc mà giá rẻ có khác,2,4
train_007335,Sản phẩm siêu cùi giảm 80% mình cũng không thèm mua lại,0,4
train_008811,Mình mua hàng nhiều lần ở Tiki từ sách cho tới sản phẩm kỹ thuật số và đây là lần đầu tiên mình muốn gửi đánh giá của mình cho sản phẩm này,2,9
train_008492,"Đóng gói sản phẩm tốt, giao hàng nhanh, chất lượng thì chưa dùng lâu mà lịch thì thấy không chạy rồi",0,1
train_008811,"Sau khi nhận được sách và thao lược vài chục trang thì mình thấy sách dịch rất tệ, đọc không suôn và ý tứ lủng củng, đôi chỗ phải suy nghĩ để hiểu.",0,1
train_008811,Cảm tưởng như đọc mấy trang bói tử vi rẻ tiền trên mạng vậy,1,9
train_008811,Không rõ cái này do dịch kém hay do ông tác giả viết loạn xà ngầu,0,9
train_008811,Mình lướt Facebook thì thấy một người bạn của mình viết bài khá dài kèm một bức ảnh đang cầm quyển sinh trắc vân tay này,1,9
train_008811,"Mình nhớ một cụm từ mà thề là suốt đời chắc mình không hiểu được ý nghĩa luôn: ""Hoạt động tinh"" ""Hoạt động tinh""",1,9
train_008811,Các bạn có hiểu hoạt động tinh là gì không,1,9
train_007335,Bây giờ mình đã vứt em nó một xó và không sử dụng được nửa năm rồi,0,1
train_008811,Mà éo le cái là cụm từ này đi liền với trẻ em,0,9
train_008811,Tính tờ rùng hay tính tờ hần,1,1
train_008811,Hoạt động tinh ở trẻ,1,9
train_008811,Đọc rất buồn cười,2,9
train_008811,Mình chưa đọc xong nhưng bấy nhiêu thôi cũng làm mình thấy mấy ông làm sách chẳng có tâm tí nào,0,1
train_008811,Hay mình đang đọc bản lậu?,0,9
train_010461,Có phải hàng giỡn không,0,1
train_013928,Chất lượng sản phẩm tuyệt vời,2,1
train_013928,Hàng chuẩn khỏi bàn,2,1
train_014510,"Dùng được 2 ngày bị hỏng, sửa mất gần trăm nghìn",0,1
train_013928,Giao hàng nhanh nữa,2,3
train_009385,Đóng gói rất xấu,0,2
train_000100,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn, giao hàng siêu nhanh, chỉ có một điểm trừ duy nhất là đậu phộng không được cay cho lắm",2,1
train_006072,Đóng gói sản phẩm rất kém,0,2
train_006072,Ủng hộ nhiều đơn,2,9
train_006072,Giao bịch thứ 2 rách,0,3
train_010461,Sao hàng mua trên Tiki lại khác với hàng mình đang dùng mua trong siêu thị,0,9
train_006072,Câu sửa: Không một câu xin lỗi,0,5
train_006072,Thái độ quá kém,0,5
train_006072,Kêu bồ thường rồi chán không,0,9
train_006072,Lo mua ủng hộ rồi nên chờ 1 chút,1,6
train_006072,Vậy lý do là gì,1,9
train_006072,Mình đã đạt nhưng đơn này trước khi bị vợ nói xấu mình,1,9
train_006072,Quá xứng đáng,2,9
train_010792,Giao nhầm hàng,0,3
train_010792,Mặc dù đã viết note lại dặn rất cẩn thận mà shop cũng không hồi âm tư vấn cho khách,0,5
train_012487,"Chất liệu tệ, vải có vẻ không được tốt cho lắm",0,1
train_012487,Nói chung là không ưng ý,0,9
train_012487,Dáng cũng không đẹp,0,1
train_008620,Chất lượng sản phẩm tuyệt vời,2,1
train_008620,"Thời gian giao hàng rất nhanh, shop phục vụ rất tốt",2,3
train_001082,Giao hàng không đúng màu,0,3
train_001082,Mặc dù đã chú thích,0,9
train_008898,Cài đặt và sử dụng rất dễ dàng,2,9
